"The primary job of this device is to block the breath that would otherwise produce a popping sound, while allowing your voice to pass through with no noticeable reduction of volume or high frequencies. The double cloth filter blocks the pops and lets the voice through with no coloration. The metal clamp mount attaches to the mike stand secure enough to keep it attached. The __MASKED__ neck needs a little coaxing to stay where you put it." , "goose"
"Nice windscreen protects my MXL mic and prevents pops. Only thing is that the gooseneck is only marginally __MASKED__ to hold the screen in position and requires careful positioning of the clamp to avoid sagging." , "able"
"So good that I bought another one. Love the heavy cord and gold connectors. Bass sounds great. I just learned __MASKED__ night how to coil them up. I guess I should read instructions more carefully. But no harm done, still works great !" , "last"
"Monster makes the best cables and a lifetime warranty doesnt hurt either. This isnt their top of the line series but it works __MASKED__ with my bass guitar rig and has for some time. You cant go wrong with Monster Cables." , "great"
"If you are not use to using a __MASKED__ sustaining pedal while playing the piano, it may appear little awkward." , "large"
"I bought this to use in my home studio to control my __MASKED__ keyboard. It does just what I wanted it to do." , "midi"
"Cant go __MASKED__. Great quality on a budget price - Hosa is the go to when you need to hook things up" , "wrong"
"The ends of the midi cable look and feel like quality. Connection is __MASKED__, no worries about uneven connections, it also detaches without a hitch. Highly recommended." , "secure"
"Just trying to find a midi to midi was a task, and you have to make sure the pin config is correct. This one is a __MASKED__ product and works just fine" , "good"
"I bought these to go from my board to the amp. We use them for a __MASKED__ church so they take a beating. They are still going strong." , "mobile"
"Use it every week at gigs. Solid, no problems with the solder joints. A __MASKED__ quality cable at a very good price." , "good"
"This cable seems like it will last me for a while. As it is only being used to connect a DI box it will not get abused as __MASKED__ as the vocal mics always do." , "much"
"This is a fine cable at a decent price point, nothing __MASKED__ mind, but it gets the job done well enough." , "exceptional"
"Nice __MASKED__ cables, with excellent support at the ends. Should last a lifetime of usage no problem and just what I needed to connect my tube preamp." , "solid"
"Cheap and __MASKED__ texture rubber that does not get stiff. Only time will tell how well the soldering is. Sounds fine to me." , "good"
"Bought this for my daughter along with her new guitar. It seems to work well, no issues in the __MASKED__ couple of weeks." , "first"
"I am not hard on cables. I typically just plug them in to my guitar, __MASKED__ move around much, and play for an hour or two a day. this one seem to perform just fine. no buzz, and/or other noises noted. I have several of them and they have all performed well." , "dont"
"Pretty __MASKED__ cable. It works and gets the job done, but after purchasing this product and using it, I will shell out the extra bucks for better quality." , "crappy"
"I use this cord in my church to run from my pedalboard to my amp ( which is in a soundproof box ). The cord is reliable and __MASKED__ sounding. I like it and have used HOSA products in the past with confidence. Excellent cord. Hopefully this review will be usefull to you." , "clean"
"In my opinion it does not hurt to have extra guitar cables around. From experience they tend to just die without notice. I have a feeling this one will __MASKED__ a long time. It is built sturdy and sounds really good.I recommend this product." , "last"
"Hosa guitar cables work __MASKED__. Never had any problems with them. I own several of different lengths and they all sound perfect." , "great"
"This product does exactly what it is supposed to do at a decent price. I have absolutely no complaints. This is my __MASKED__ experience with the brand and I am not disappointed." , "first"
"This guitar cable is very nice. It looks __MASKED__ quality and has the white ends. Fantastic deal for this cable." , "high"
"Good product at a good price. Have used it __MASKED__ times and works well with my guitar and speaker. Great to have when friends come over to jam." , "multiple"
"Hard to day too much, but it works __MASKED__. No issues to speak of. It does the job perfectly well" , "great"
"These are __MASKED__ cables at a good price ! ! Not sure they would hold up to heavy use, but for practicing at home they are really great !" , "Good"
"very sturdy, __MASKED__ quality with little to no feedback, i use it for performing for my friends and they all love it" , "high"
"Good cable, as good as any expensive brand. Thick, a bit __MASKED__ and seems to be shielded. No complaints at all." , "stiff"
"Just received this cord and it seems to work as expected. What can you say about an adapter cord ? It is well made, __MASKED__ construction and sound from my DSLR with my mic is superb." , "good"
"Another quality product from Hosa. Just what I needed for an insert patch from my mixer to EQ. I always like slightly longer length as I can always zip tie back but __MASKED__ to stretch ! No noise from this cable !" , "hard"
"I play my I-pod through a __MASKED__ guitar Amp. Great way to wake up the kids. Works perfectly for the purpose. Keep in mind small end for I-Pod is stereo and large end that goes into amp in mono. If needing a stereo jack at both ends get something else." , "small"
"plugged it in and it works to connect a mono line out to the stereo input on a Lepai amp. not __MASKED__ else I can tell you" , "much"
"Cables are cables. They usually all work. And with Amazon, you will always find the __MASKED__ deals for the same quality." , "best"
"Good little connector cable. Well constructed, __MASKED__, built to last. I would recommend this cable to connect stomp boxes. Worth it." , "durable"
"these cable came __MASKED__ fast in the mail, They deliver the level of performance you would expect form low cost cables. they work" , "super"
"I typically use planet waves cables but tried these and there just as __MASKED__. Never an issue. No loss of tone. Never breaks or fails. Quality product for a good price." , "great"
"Really just some inexpensive and yet durable cables to link your stompboxes together. As of yet, i havent had one go all crackly, which, considering they get frequent use, is pretty good. Often, cheap cords die within a year or so. Every electric guitarist keeps a stock of these things, and this one in __MASKED__ is cheap and accessible. I probably have around twelve of them.Enjoy !" , "particular"
"I purchased this to work with my ION system and my shure mic. Arrived as expected, very __MASKED__ great fit. It works ! ! ! !" , "solid"
"As the title says, it works. The only reason I took off a star is sometimes it gets a little __MASKED__ and I have to use some force to get it off the XLR. But, no issues besides that." , "stuck"
"Its affordable and it works. Its a nice little adapter for your __MASKED__ impedance cable to your high impedance input." , "low"
"As expected from Hosa another great product. Solid construction and __MASKED__ sound reproduced. i would recomed this product to everyone." , "great"
"For the money, this karaoke mic does a decent job for any vocal use. __MASKED__ to keep as a spare in the gig box." , "Good"
"These cables are a __MASKED__ thin compared to hosa and GLS. They picked up a little interference from other equipment as well. Guessing they are lacking some shielding." , "little"
"I only do test recording with this digitally to get a __MASKED__ Idea of my learning process from the other side. It gives a clean crisp reproduction of every flaw I have." , "better"
"Good all around mike. If you are looking for a __MASKED__ mike to start your studio, I recommend this one. Best used for guitar and mid range instrument recording but not bad on vocals. Best mike for the price and purpose." , "solid"
"I use this to mic snare drums and sometimes guitar cabinets. It works as well as most mics and is more durable than most. I have used this in the studio when nothing else was __MASKED__ and it worked fine. As long as I run sound for a living I will keep some of these mics." , "available"
"This mic is well made ( __MASKED__ on the mic-end ). However, I have yet to try it with my multi-track studio." , "heavy"
"I bought this for my teen son for Christmas. He loves to play his bass and sing along. He had a different Shure mic and it was totally flat compared to this particular model. Nice and clean sounds, plus it seems __MASKED__ sturdy. We did get him a mic stand and it fits on it perfectly and stays put. Shure knocked this one out of the park." , "pretty"
"no complaints here ! the quality is __MASKED__ ! the sounds is excellent ! and my voice sounds wonderful and crisp. use it all the time." , "great"
"A __MASKED__ addition to my recording home studio ! I recommend it for any one who records ballads or light classical music." , "nice"
